Year,Faculty,Programme,Job Type,Industry Type,Career Choice Rank,Was this job in the industry of your choice?,Salary range,Estimated Salary
2020,"BUSINESS, ECONOMICS & ACCOUNTING",MARKETING,Sales/Marketing,Recruitment,3rd and above,Yes,"Below RM1,500",1000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",MARKETING,Sales/Marketing,Recruitment,Others,No,"RM2,501 - RM3,500",3000
2020,EDUCATION,EARLY CHILDHOOD EDUCATION,Administrator,Religious Organization,2nd,No,"Below RM1,500",1000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Advisor/Counselor,Religious Organization,2nd,Yes,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",MARKETING,Digital Marketing,Retail,1st,Yes,"RM1,501 - RM2,500",2000
2021,COMMUNICATION,MARKETING COMMUNICATION,Digital Marketing,Retail,Others,No,"RM4,501 - RM5,500",5000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",HR MANAGEMENT,HR Executive,Retail,1st,Yes,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",INTERNATIONAL BUSINESS,Manager,Retail,1st,Yes,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ECONOMICS,Operations Executive,Retail,1st,Yes,"RM3,501 - RM4,500",4000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Operations Executive,Retail,1st,Yes,"RM1,501 - RM2,500",2000
2020,COMMUNICATION,MEDIA STUDIES,PR/Social Media Executive,Retail,2nd,Yes,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",BUSINESS PSYCHOLOGY,Sales/Marketing,Retail,3rd and above,No,"RM4,501 - RM5,500",5000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",MARKETING,Sales/Marketing,Retail,2nd,Related,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",MARKETING,Sales/Marketing,Retail,2nd,No,"Above RM5,500",6000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",MARKETING,Sales/Marketing,Retail,1st,Yes,"RM2,501 - RM3,500",3000
2020,COMMUNICATION,MEDIA STUDIES,Sales/Marketing,Retail,2nd,Related,"RM2,501 - RM3,500",3000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Sales/Marketing,Retail,3rd and above,No,"RM1,501 - RM2,500",2000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Sales/Marketing,Retail,1st,Related,"RM1,501 - RM2,500",2000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Sales/Marketing,Retail,1st,Yes,"RM2,501 - RM3,500",3000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Sales/Marketing,Retail,Others,No,"RM4,501 - RM5,500",5000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",FINANCE,Self-Employed,Retail,1st,No,"Above RM5,500",6000
2020,LAW,LAW,Administrator,Security Services,Others,No,"RM1,501 - RM2,500",2000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGICAL SCIENCE,Intern,Special Needs Education,1st,Related,"Below RM1,500",1000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Teacher,Special Needs Education,2nd,Yes,"RM1,501 - RM2,500",2000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Teacher,Special Needs Education,Others,Yes,"RM1,501 - RM2,500",2000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Teacher,Special Needs Education,3rd and above,Related,"RM1,501 - RM2,500",2000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Teacher,Special Needs Education,2nd,Yes,"RM1,501 - RM2,500",2000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Therapist,Special Needs Education,1st,Yes,"RM1,501 - RM2,500",2000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Therapist,Special Needs Education,2nd,Related,"RM1,501 - RM2,500",2000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Therapist,Special Needs Education,1st,Related,"RM1,501 - RM2,500",2000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Therapist,Special Needs Education,1st,Yes,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",INTERNATIONAL BUSINESS,Executive,Telecommunications,2nd,No,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Management Trainee,Telecommunications,3rd and above,Related,"RM1,501 - RM2,500",2000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Management Trainee,Telecommunications,1st,Yes,"RM3,501 - RM4,500",4000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Sales/Marketing,Telecommunications,3rd and above,No,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ECONOMICS,Customer Service,Travel & Hospitality,3rd and above,No,"RM2,501 - RM3,500",3000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Officer,Travel & Hospitality,Others,Yes,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",MANAGEMENT,Assistant Manager,Trading/Distribution,2nd,Related,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Trading/Distribution,1st,Yes,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Trading/Distribution,2nd,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Trading/Distribution,2nd,Yes,"RM2,501 - RM3,500",3000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",BUSINESS PSYCHOLOGY,Business Development,Trading/Distribution,2nd,Related,"RM2,501 - RM3,500",3000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",MARKETING,Digital Marketing,Trading/Distribution,3rd and above,Related,"RM2,501 - RM3,500",3000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,HR Executive,Trading/Distribution,1st,Related,"RM3,501 - RM4,500",4000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",MANAGEMENT,Manager,Trading/Distribution,3rd and above,No,"RM2,501 - RM3,500",3000
2021,COMMUNICATION,MARKETING COMMUNICATION,Management Trainee,Trading/Distribution,1st,Yes,"RM3,501 - RM4,500",4000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Researcher,Trading/Distribution,Others,No,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Sales/Marketing,Trading/Distribution,3rd and above,Related,"RM3,501 - RM4,500",4000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ENTREPRENEURSHIP,Sales/Marketing,Trading/Distribution,1st,Yes,"RM1,501 - RM2,500",2000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",MARKETING,Sales/Marketing,Trading/Distribution,1st,Yes,"RM2,501 - RM3,500",3000
2020,COMMUNICATION,MARKETING COMMUNICATION,Sales/Marketing,Trading/Distribution,1st,Related,"RM1,501 - RM2,500",2000
2020,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Sales/Marketing,Trading/Distribution,2nd,Yes,"RM2,501 - RM3,500",3000
2021,COMPUTING,INFORMATION TECHNOLOGY,Software Developer,Trading/Distribution,3rd and above,Related,"RM1,501 - RM2,500",2000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Intern,Training,Others,Related,"Below RM1,500",1000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGICAL SCIENCE,Trainer,Training,1st,Yes,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Administrator,Biotech/Waste Management,2nd,Related,"RM1,501 - RM2,500",2000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Director,Biotech/Waste Management,1st,Yes,"RM4,501 - RM5,500",5000
2020,"BUSINESS, ECONOMICS & ACCOUNTING",ACCOUNTING,Audit/Accounting,Accounting / Tax Services,1st,Yes,"Below RM1,500",1000
2021,BEHAVIOURIAL SCIENCES,PSYCHOLOGY,Interpreter/Translator,Personal Services,Others,No,"RM2,501 - RM3,500",3000
2020,EDUCATION,EARLY CHILDHOOD EDUCATION,Teacher,Education,1st,Yes,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",HOSPITALITY/TOURISM MANAGEMENT,Technician,Building Management Services,Others,No,"RM1,501 - RM2,500",2000
2021,"BUSINESS, ECONOMICS & ACCOUNTING",BUSINESS PSYCHOLOGY,Trainer,Telecommunications,Others,No,"RM3,501 - RM4,500",4000
